type,time,latitude,longitude,altitude (ft),name,desc
T,2019-09-20 02:58:18,34.060140000,-118.357695000,173.6,Evening Walk,
T,2019-09-20 02:58:24,34.060092000,-118.357732000,173.6,,
T,2019-09-20 02:58:27,34.060067000,-118.357759000,173.9,,
T,2019-09-20 02:58:29,34.060039000,-118.357772000,173.9,,
T,2019-09-20 02:58:31,34.060014000,-118.357788000,174.2,,
T,2019-09-20 02:58:33,34.059991000,-118.357815000,174.5,,
T,2019-09-20 02:58:36,34.059966000,-118.357843000,174.5,,
T,2019-09-20 02:58:38,34.059935000,-118.357860000,174.9,,
T,2019-09-20 02:58:42,34.059907000,-118.357887000,175.2,,
T,2019-09-20 02:58:44,34.059878000,-118.357900000,175.5,,
T,2019-09-20 02:58:46,34.059850000,-118.357905000,175.9,,
T,2019-09-20 02:58:49,34.059821000,-118.357927000,176.2,,
T,2019-09-20 02:58:53,34.059784000,-118.357937000,176.5,,
T,2019-09-20 02:58:56,34.059754000,-118.357950000,176.8,,
T,2019-09-20 02:59:00,34.059729000,-118.357968000,176.8,,
T,2019-09-20 02:59:03,34.059697000,-118.357971000,177.2,,
T,2019-09-20 02:59:06,34.059662000,-118.357973000,176.8,,
T,2019-09-20 02:59:10,34.059629000,-118.357983000,176.5,,
T,2019-09-20 02:59:13,34.059602000,-118.357991000,176.2,,
T,2019-09-20 02:59:17,34.059560000,-118.357999000,175.2,,
T,2019-09-20 02:59:19,34.059527000,-118.358024000,174.2,,
T,2019-09-20 02:59:21,34.059507000,-118.358048000,173.9,,
T,2019-09-20 02:59:24,34.059472000,-118.358062000,172.9,,
T,2019-09-20 02:59:27,34.059433000,-118.358075000,172.2,,
T,2019-09-20 02:59:30,34.059403000,-118.358085000,171.6,,
T,2019-09-20 02:59:33,34.059367000,-118.358093000,171.3,,
T,2019-09-20 02:59:36,34.059336000,-118.358096000,170.9,,
T,2019-09-20 02:59:38,34.059310000,-118.358113000,170.3,,
T,2019-09-20 02:59:41,34.059266000,-118.358123000,169.9,,
T,2019-09-20 02:59:44,34.059237000,-118.358138000,169.3,,
T,2019-09-20 02:59:47,34.059200000,-118.358156000,169.0,,
T,2019-09-20 02:59:50,34.059165000,-118.358167000,168.6,,
T,2019-09-20 02:59:52,34.059139000,-118.358189000,168.3,,
T,2019-09-20 02:59:55,34.059113000,-118.358207000,168.0,,
T,2019-09-20 02:59:58,34.059084000,-118.358218000,167.7,,
T,2019-09-20 03:00:00,34.059054000,-118.358227000,167.7,,
T,2019-09-20 03:00:03,34.059020000,-118.358249000,167.3,,
T,2019-09-20 03:00:07,34.058984000,-118.358267000,167.0,,
T,2019-09-20 03:00:10,34.058948000,-118.358283000,166.7,,
T,2019-09-20 03:00:13,34.058916000,-118.358299000,166.7,,
T,2019-09-20 03:00:15,34.058888000,-118.358313000,166.3,,
T,2019-09-20 03:00:18,34.058857000,-118.358335000,166.0,,
T,2019-09-20 03:00:22,34.058830000,-118.358343000,166.0,,
T,2019-09-20 03:00:25,34.058799000,-118.358349000,165.7,,
T,2019-09-20 03:00:28,34.058762000,-118.358349000,165.7,,
T,2019-09-20 03:00:31,34.058722000,-118.358350000,165.4,,
T,2019-09-20 03:00:34,34.058689000,-118.358355000,165.4,,
T,2019-09-20 03:00:37,34.058661000,-118.358373000,165.0,,
T,2019-09-20 03:00:39,34.058636000,-118.358393000,165.0,,
T,2019-09-20 03:00:42,34.058606000,-118.358406000,164.7,,
T,2019-09-20 03:00:45,34.058577000,-118.358429000,164.4,,
T,2019-09-20 03:00:48,34.058548000,-118.358447000,164.4,,
T,2019-09-20 03:00:52,34.058520000,-118.358472000,164.0,,
T,2019-09-20 03:00:55,34.058494000,-118.358480000,164.0,,
T,2019-09-20 03:00:58,34.058462000,-118.358494000,163.7,,
T,2019-09-20 03:01:02,34.058431000,-118.358517000,163.7,,
T,2019-09-20 03:01:05,34.058401000,-118.358539000,163.7,,
T,2019-09-20 03:01:07,34.058361000,-118.358554000,163.4,,
T,2019-09-20 03:01:10,34.058325000,-118.358563000,163.4,,
T,2019-09-20 03:01:12,34.058297000,-118.358564000,163.4,,
T,2019-09-20 03:01:14,34.058263000,-118.358571000,163.4,,
T,2019-09-20 03:01:17,34.058228000,-118.358573000,163.4,,
T,2019-09-20 03:01:20,34.058203000,-118.358593000,163.4,,
T,2019-09-20 03:01:22,34.058174000,-118.358610000,163.1,,
T,2019-09-20 03:01:26,34.058147000,-118.358632000,163.1,,
T,2019-09-20 03:01:28,34.058118000,-118.358653000,163.4,,
T,2019-09-20 03:01:30,34.058091000,-118.358677000,163.4,,
T,2019-09-20 03:01:33,34.058059000,-118.358697000,163.4,,
T,2019-09-20 03:01:36,34.058024000,-118.358700000,163.7,,
T,2019-09-20 03:01:39,34.057986000,-118.358687000,163.7,,
T,2019-09-20 03:01:42,34.057959000,-118.358695000,163.7,,
T,2019-09-20 03:01:45,34.057930000,-118.358698000,164.0,,
T,2019-09-20 03:01:48,34.057897000,-118.358715000,164.4,,
T,2019-09-20 03:01:51,34.057864000,-118.358729000,164.4,,
T,2019-09-20 03:01:54,34.057840000,-118.358749000,164.7,,
T,2019-09-20 03:01:58,34.057809000,-118.358774000,165.0,,
T,2019-09-20 03:02:02,34.057780000,-118.358796000,165.4,,
T,2019-09-20 03:02:04,34.057752000,-118.358798000,165.4,,
